Respondent,Case,System,Feedback
R_21aXhYhKby7DRt4,Case 5,Split-RAG,"Ik denk dat er hier al iets fout gaat bij de vraagstelling, want het is totaal onduidelijk waar de omgevingsplanactviteit op ziet. Om wat voor bouwplan gaat het hier?"
R_21aXhYhKby7DRt4,Case 6,Split-RAG,"Wederom gaat het hier deels fout in de vraagstelling, want waar ziet het bouwproject op? En hiernaast is het antwoord ook compleet verkeerd. Wat het antwoord wel had moeten zijn volgt uit jurisprudentie over het leerstuk van de evident privaatrechtelijke belemmering. Maar dat komt in zijn geheel niet terug."
R_21aXhYhKby7DRt4,Case 7,Baseline,"De normen voor bezonning zijn iets heel anders. Er zitten hier elementen die goed zijn in het antwoord, zoals welstand, maar verder is het antwoord onjuist en onvolledig."
R_21aXhYhKby7DRt4,Case 8,Baseline,"Er zou ook wel jurisprudentie hierover te vinden moeten zijn, zijn volgens mij vrij veel uitspraken over geweest, dus is wat gek dat dit er niet in staat."
R_21aXhYhKby7DRt4,Case 9,Baseline,"artikel 2.10 omgevingswet is volgens mij een verkeerd artikel, ik denk dat hier nog gewezen wordt op artikel 2.10 van de Wabo onder het oude recht. Daar stond namelijk het toetsingskader voor vergunningeverlening onder het oude recht. Verder is het antwoord wel goed."
R_21aXhYhKby7DRt4,Case 10,Split-RAG,"Ik weet niet heel veel van bomenkap, maar dit antwoord lijkt me zeer incompleet en ook niet helemaal juist."
R_2svK85YWUagVqoc,Case 1,Baseline,"Ik ga er vanuit dat de vraag gaat om Amsterdam.

Het generieke antwoord bovenaan geeft een open antwoord, maar dat is niet gek want de vraag is ook generiek gesteld. Het antwoord is alleen niet compleet en ook fout.
De WABO wordt genoemd in plaats van de Omgevingswet, dus fout.
Het omgevingsplan wordt niet genoemd. Hoofdstuk 10 van het Omgevingsplan van de gemeente Amsterdam wordt niet genoemd. Dus beide fout.
Er wordt (bijna) een specifiek bestemmingsplan genoemd, terwijl de vraag generiek gesteld is. Dus fout.
Bovendien wordt een artikel verzonnen uit dat bestemmingsplan. Artikel 19.2.2 bestaat niet. Dus fout."
R_2svK85YWUagVqoc,Case 2,Baseline,"Het gaat ook om artikel 6:9 Awb, wat niet is genoemd in het antwoord. 6:11 Awb (over verschoonbare termijnoverschrijding) wordt wel genoemd. De genoemde rechtspraak, waarvan het ECLI nummer ontbreekt, ziet op verschoonbare termijnoverschrijding. Maar daar staat (inderdaad) niet iets in over verkeerde adressering.
Het antwoord benoemt dat het gaat om de verantwoordelijkheid van een rechtspersoon om correcte adresgegevens in te schrijven. Dit kan relevant zijn, als de instantie zelf verkeerde adressering heeft opgegeven, maar dit blijkt echter niet uit de vraag.

Opmerking over de vraag: is het zeker dat je 'bezorgd' bedoelt, en niet 'verzonden'? of bedoel je 'bezorgd op een verkeerd adres'?"
R_2svK85YWUagVqoc,Case 3,Split-RAG,"Artikel 5.20 lid 2 Omgevingswet klopt, maar het moet zijn onder b in plaats van d.
Ook apart dat weer WABO wordt genoemd.
De belangenafweging klopt wel.
De genoemde rechtszaak, althans het ECLI nummer, bestaat niet."
R_2svK85YWUagVqoc,Case 4,Split-RAG,Wederom WABO genoemd.
R_2svK85YWUagVqoc,Case 5,Split-RAG,22.280 is van belang wanneer er sprake is van een binnenplanse afwijking. Dit blijkt alleen (nog) niet uit de vraag.
R_2svK85YWUagVqoc,Case 6,Baseline,artikel 22.29 van het omgevingsplan is inmiddels vervangen.
R_2svK85YWUagVqoc,Case 7,Split-RAG,"Het gaat niet om 5:32 omgevingswet.
De genoemde uitspraak gaat om visserij en niet om lichthinder.
Conclusie is ook niet helemaal correct. De belangenafweging is al in de regels van het bestemmingsplan, als het gaat om een binnenplanse activiteit. De vraag is daar alleen niet expliciet over."
R_2svK85YWUagVqoc,Case 8,Split-RAG,"Inhoudelijk apart dat de overtreding pas na de inwerkingtreding is geconstateerd.
Het antwoord zou vollediger zijn als rechtspraak werd genoemd over overtredingen die pas na de inwerkingtreding vast zijn komen te staan."
R_2svK85YWUagVqoc,Case 9,Split-RAG,Weer wordt WABO genoemd. De genoemde rechtspraak klopt wel.
R_2svK85YWUagVqoc,Case 10,Baseline,er is geen specifieke rechtspraak genoemd in het antwoord.
